Name,Topic,Voice Line
Albedo,Hello,"I am Albedo, Chief Alchemist of the Knights of Favonius. You carry the aura of the stars, interesting... I would like to study you, if you do not mind. I'm certain we will have many opportunities to be alone in the future."
Albedo,Chat: Still Life,What a view... How about a quick break so I can sketch this beautiful scenery?
Albedo,Chat: Investigation,"""The truth of this world""... *sigh* What could it be?"
Albedo,Chat: Reminiscing,"Going out into the world and investigating, turning the ""unknown"" into the ""known."" ...Ahhh, I missed this feeling."
Albedo,When It Rains,"The soil is moist, ideal for collecting the roots of Boom Blossoms. No please, allow me to handle this."
Albedo,When It Snows,Master...
Albedo,When the Sun Is Out,"Ample light... active biological organisms... Yes, this is a good place to sketch."
Albedo,Good Morning,Good morning. Are we going to search for ancient relics today?
Albedo,Good Afternoon,"Good afternoon. I heard your footsteps. My, it certainly is lively outside of the workshop."
Albedo,Good Evening,*sigh* It's gotten quiet outside...
Albedo,Good Night,"Good night, you go ahead and rest. I will just finish one last experiment before bed... If you are interested in the results, I can discuss them with you tomorrow."
Albedo,About Albedo: Genius,"Genius? ...A number of people call me that. But I don't think I'm any ""genius."
Albedo,About Albedo: Socializing,"Relationships are... quite troublesome. Once you establish a relation with someone, you must continue to maintain it; if you lose contact, you must reestablish the relation. This taxing cycle requires a lot of time..."
Albedo,About Us: Experiments,"You... want to accompany me while I experiment? I'm honored.Oh, don't be nervous. My experiments may be dangerous, but no one gets hurt... most of the time."
Albedo,About Us: Assistant Friendship Lv. 6,"Would you oblige me by serving as my assistant? After observing so many experiments, you surely know a good deal about alchemy by now. Relax, we will work together. I don't think you will have any problems. I have faith in my ability to instruct you, and even more faith in your exceptional talents."
Albedo,About the Vision Friendship Lv. 4,"My Vision? Ah, that's nothing more than a tool to aid in my experiments, no different from a beaker or crucible. The one thing about it that really intrigues me is the principle behind how it works... One day, I will uncover its secrets, it's only a matter of time."
Albedo,Something to Share Friendship Lv. 4,"There's something I've always wanted to ask you, but feared rejection and disappointment...Eh-hem... I am very interested in your little floating companion. May I borrow her to investigate for a short while?"
Albedo,Interesting Things,"You would like to know more about petrified trees? Erm... Actually, the petrified trees you have come across in domains aren't that ancient. Truly ancient trees usually grow to around one or two miles in height. Oh, and there's a kind of large spider that lives around their roots — if you tie one up in cape jasmine and lemongrass and sprinkle on some cardamom, smoke it for a few hours — you get a fragrant taste that's simply... unforgettable."
Albedo,About Family Friendship Lv. 6,"Family? Although Alice has always asked me to call her mother.... when I think of the idea of ""family"", my master comes to mind first. My earliest memories in life are of going on adventures with her. She taught me the art of alchemy and much knowledge about the world. Perhaps... even the words ""family"" and ""master"" are incapable of fully expressing her meaning to me."
Albedo,About Sucrose: Direction Friendship Lv. 4,"Sucrose? I think I more or less understand why she is so dedicated to her research in bio-alchemy... Either way, I'm happy to see her succeed more and more in her endeavors."
Albedo,About Sucrose: Habits Friendship Lv. 5,"Working with Sucrose on alchemy research is quite pleasant, but she has some... stubborn qualities in regards to certain aspects unrelated to research. For example, I have told her numerous times to just call me ""Albedo"" since we are about the same age, but she insists on addressing me in an excessively formal manner. ...Whatever she prefers, I guess."
Albedo,About Lisa Friendship Lv. 4,Lisa? I always am impressed by the valuable perspectives she brings to discussions. But is a person with her talents satisfied with such a basic occupation as librarian? There must be some hidden reason for this.
Albedo,About Klee Friendship Lv. 4,"Indeed, I view Klee as my younger sister. Whenever she gets herself into some explosive sort of trouble, I can only console myself with the fact that her current destructiveness is nothing compared to that of Miss Alice."
Albedo,About Jean Friendship Lv. 4,"Jean? She has served exceptionally well as Acting Grand Master, one can even say she is more reliable than Grand Master Varka. Perhaps in our hearts, we all eagerly await the day she can become the official Grand Master herself."
