content,score
Hoyovorse did you make genshin or am I imagining this game?,5
This game is so cool but it is too big,5
This game is awesome. This game is perfect for people who like adventure and exploring. It is also kind of challenging and gets harder as you level up in rank.,5
Cool,3
"Great game,but sometimes bugs don't let me enter it says wait for the developer update with the bug fixes thingie",4
Reminds me of Zelda but more...,5
"Couldnt even start playing. After the cutscene with traveller and paimon, I couldnt even move! Then the sound of the ringing kept replaying and reloading. Deleted most apps for genshin and couldnt play. The traveller and paimon cutscene was laggy, while the starting point was fine. The game said I was at about 263(?). Im pretty sure it was my device but I had 10GB. Hope I can play soon.",2
nice game,5
"I like the game the characters, the lore but my only problem is everytime i use ayakas auto attacks it glitches",2
"Love it so much I don't know how this is free to play!!!! Really fun to play, but there's a problem. I delete some stuff so I can install the stuff once it's downloaded, I delete beyond enough stuff to download the stuff, and then it says that I don't have enough space! Maybe try fixing that problem to bump up my review, also it is the most biggest game file ever so I recommend having alot of space on your device, please make it to where it isn't such a huge game file, thank you!",4
"It's the best I've ever played! I totally love it and it kinda fits cause I love views so everywhere I go and I think it's cool or beautiful I just GOTTA picture it heh.. yes, the graphics are more beautiful and better on pc [ I do play on pc aswell ] but I still don't have any problems with playing on my phone I'd say it's the best game I've EVER played and I'm so happy with it! And the Winblume's Breath?! AWESOME! I LOVE THE SONGS SOOO MUCH I DON'T WANT THEM GONE! I totally recommend! ^^",5
good,5
Fan of legend of zelda both so nice,5
Dear Genshin Impact.... I need so much storage to play this game i need 19 gb of memory can you lower the storage needed like 10 gb to play so people can play it i already share it with my friends but we dont have space but the graphics is good tho Hope you read this.......,5
we need this game on xbox console,3
"After the new double rerun banner, I think this is a huge quality of life. All the other people who constantly complaining about everything about the game is just brainless. Why I change my opinion on this game is that I can see that this is going in a right direction for the game. All the reviews that is 1 star is probably just people who want to get more out of the game. They lose 50/50, oh the system sucks, didn't get the artifact they want, oh the game sucks. Grow up people.",5
Soo good I spent all my time on there and it was so worth it,5
To much updates.,3
"I liked this game overall, graphics, story and characters. But one thing is the resin system. Waiting for 8 minutes for 1 resin to reset? Not very satisfactory. 160 resin is the limit? can't increase? A lot of players has been struggling with the resin system. Can't it increase?",2
Great game but needs controller support on Android. It's been way too long.,2
This game is good and nice play,5
Will do anything to play genshin lol but I have to wait and buy a PlayStation bcus of the amount of storage this game takes up,2
"Great game, But please give more free roll🤣",5
"This game is great Bayside the toxic community and my only problem is the logo , I just hope they change it to something more afficial !",5
After trying every RPG game I finally found the perfect one! This is the best game I've ever experienced in my life!,5
"When i tried this game its so awesome the graphics and the map and the characters and the citys they are so stunning, i cant wait to see the next update on 3.5",5
"Nice game, but this is more of a benchmark game than an actual game to be played on your phone. You're much better playing this game on PC instead. Now for the game itself, a lot of good but some pretty bad thing that will drive you away. The worst is the pulls and artifact RNG and how whales are infinitely luckier than the rest. Other than that, this game is a must try.",5
The game is soooooooo good but it takes alot of space it takes 20g but I want you to install it.,4
I love all the of the gameplay,5
This game is not good it won't let me play the game I hate this,1
THISSSSSSSSSSEE GAMMMME ISS THEEE WORSST!!!!!!!!!!!!!!!!!!!!!!!!!!! I cant even play it! i didhit get to play the game!! You beter fixe this! The only thing it those is load after its done loading it chots of!!,1
Actual poggers,5
It now takes 20 GB and that's to much,1
Its a realy nice game the story line the graphics its just perfect!,5
